Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment
E.ON,EOH2657,NE5,32.0,Working Full time (>30hrs),Manager,"16,201 - 20,000",2020-09-30T00:00:00.000Z,Owner-Occupied,2.0,C1,1.0,YES,,NO,,NO,,NO,,YES,Interested in bill savings opportunity,NO,,NO,,NO,,NO,,NO,,19/10/2020,Phoenix,House,Semi-Detached,Urban,1983 - 1990,D,1.0,0.0,2.0,39.0,2.0,1.0,6.0,2.4,Cavity_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,110,0.0,0.0,0.0,No,No,,,3.289,102.78,6163.8,2253.0,181.0,,,Yes,No,Yes,Yes,ASHP,,,None Required,10760.4,0.0,302.0,14.3,3.8,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH1136,EH46,61.0,Working Part time,Semi and unskilled manual worker,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),14.0,DE,2.0,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,13/07/2021,Warmworks,House,Semi-Detached,Suburban,2001+,D,2.0,0.0,2.0,80.32,5.0,3.0,5.0,2.4,Cavity_Insulated,Solid,Pitched,Double,,Electricity,Electric - Storage,Electric - Direct,Water,Large (> 170l),0.0,0.0,0.0,No,No,,,5.0,60.0,7546.0,4075.0,0.0,50.0,3.41,Yes,No,Yes,Yes,ASHP,,,,,,712.0,14.0,,Yes,,,04/08/2021,TK Murray,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,0.0,Water_New,200.0,,1.0,,9.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,11215.17,3572.208,1610.23,2435.18,,,,,,,3.0,0.0,
Warmworks,EOH1064,EH30,29.0,Working Full time (>30hrs),Supervisor,"50,001+",2020-06-29T00:00:00.000Z,Owner-Occupied,0.1,C1,3.0,No,,Yes,Future,No,,No,,No,,Yes,Technology,No,,No,,Yes,Replacement,No,,15/07/2020,Warmworks,House,Semi-Detached,Urban,1965-1980,D,2.0,0.0,2.0,99.64,6.0,3.0,6.0,2.4,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,Normal (90-130l),5.0,0.0,0.0,No,No,4122.0,4000.0,,,,,,,,Yes,No,Yes,Yes,ASHP,,,,,,,,,No,Practical_DisruptionTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH2508,NE6,57.0,Working Full time (>30hrs),Supervisor,"30,001 - 40,000",2021-03-16T00:00:00.000Z,Owner-Occupied,13.0,C1,2.0,YES,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,16/04/2021,Phoenix,House,Semi-Detached,Urban,1950 - 1966,,2.0,1.0,2.0,86.0,5.0,3.0,8.0,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,110,0.0,0.0,1.0,No,No,,,5.317,61.83,9782.4,4122.0,607.0,45.0,3.57,Yes,No,Yes,Yes,ASHP,,,Barrier,11863.76,300.0,696.0,14.3,3.8,Yes,,,25/06/2021,Aaron services,ASHP,,Daikin,EDLQ07CAV3,7.0,R410A,,Water_new,200.0,,1.0,9.0,0.0,0.0,none,barrier,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,5648.0,1752.0,,2686.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Warmworks,EOH2411,TD8,21.0,Working Part time,Professional,"12,501 - 16,200",2021-03-04T00:00:00.000Z,Owner-Occupied,22.0,DE,3.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,19/03/2021,Warmworks,House,Mid-Terrace,Urban,1919-1944,F,,,1.0,48.08,3.0,1.0,3.0,2.72,Cavity_No_insulation,Solid,Pitched,Double,Yes,,Electric - Direct,None,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,,,,,,,,No,No,Yes,No,None - Installation not recommended,Practical_SpaceExternal,Practical_SpaceExternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2484,TD4,44.0,Unemployed,Unemployed/Benefits,Prefer not to say,2020-08-21T00:00:00.000Z,Rented (Social),4.0,C2,1.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,social housing referral,23/09/2020,Warmworks,House,Semi-Detached,Suburban,1945-1964,F,1.0,0.0,1.0,52.04,2.0,1.0,2.0,2.6,Cavity_Insulated,Suspended,Pitched,Double,,,Electric - Direct,None,Water,Medium (131-170l),0.0,0.0,0.0,No,No,,,5.0,89.0,4323.0,3596.0,156.0,50.0,3.58,Yes,No,Yes,No,ASHP,,,,,,560.0,14.0,,Yes,,,21/12/2020,TK Murray,ASHP,,Mitsubishi,PUHZ-W50VHA2,5.0,R410A,0.0,Water_New,150.0,,1.0,6.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,6529.24,3508.27,1610.23,1623.46,,,,,,,1.0,0.0,
Warmworks,EOH0482,KY11,55.0,Working Full time (>30hrs),Clerical,"20,001 - 25,000",2020-08-30T00:00:00.000Z,Owner-Occupied,20.0,C1,2.0,Yes,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,29/09/2020,Warmworks,House,Mid-Terrace,Urban,1919-1944,C,1.0,0.0,2.0,75.12,4.0,2.0,4.0,2.52,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,None,,0.0,1.0,1.0,No,No,,,,,,,,,,Yes,No,Yes,No,None - Installation not recommended,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH1166,EH46,61.0,Working Full time (>30hrs),Skilled Manual Worker,Prefer not to say,2021-05-27T00:00:00.000Z,Rented (Social),5.0,C2,1.0,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,07/07/2021,Warmworks,House,End-Terrace,Suburban,1991-2000,D,1.0,0.0,2.0,83.2,4.0,2.0,4.0,2.4,Cavity_Insulated,Solid,Pitched,Double,,Electricity,Electric - Storage,Electric - Direct,Water,Large (> 170l),0.0,0.0,0.0,No,No,,,7.0,65.0,9975.0,4075.0,0.0,50.0,3.65,Yes,No,Yes,No,ASHP,,,,,,814.0,14.0,,Yes,,,02/08/2021,TK Murray,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,0.0,Water_New,200.0,,1.0,,10.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,11215.17,3572.208,1610.23,2705.76,,,,,,,2.0,0.0,
Warmworks,EOH0490,EH14,66.0,Working Full time (>30hrs),Manager,Prefer not to say,2021-04-17T00:00:00.000Z,Owner-Occupied,0.5,AB,4.0,Yes,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,24/05/2021,Warmworks,House,Detached,Urban,1919-1944,C,2.0,0.0,2.0,128.9,5.0,3.0,5.0,2.6,Cavity_Insulated,Suspended,Pitched,Triple,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,1.0,No,No,,,9.2,71.0,22567.0,3820.0,0.0,50.0,3.92,Yes,No,Yes,Yes,HT_ASHP,,,,,,1023.0,18.0,5.0,Yes,,,21/07/2021,Everwarm,HT_ASHP,,Vaillant,VWL 125/6 A 230V S2,12.0,R290,0.0,Water_New,200.0,,1.0,,14.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,17943.13,3572.208,1610.23,3788.06,,,,,,,2.0,0.0,
E.ON,EOH2372,NE3,,Prefer not to say,Prefer not to say,Prefer not to say,2020-09-24T00:00:00.000Z,Rented (Social),0.9,DE,1.0,NO,,NO,,YES,opportunity to replace elec storage heaters,NO,,YES,lower bills from elec storage heaters,NO,,NO,,NO,,NO,,NO,,11/01/2021,E.ON,Flat,Flat,Suburban,1967 - 1975,,1.0,0.0,1.0,37.6,2.0,1.0,5.0,2.3,Solid_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,80,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.463,65.5,6056.0,1910.0,191.0,,,No,Yes,No,No,GSHP,,,None Required,,14707.5,351.09,14.3,,Yes,,,22/10/2021,Groundheat,GSHP,Shared_Groundloop,Vaillant,20260514,3.0,R410A,900.0,Water_new,100.0,,1.0,5.0,0.0,1.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,11605.06,1702.0,,2701.78,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
E.ON,EOH2116,NE3,,Prefer not to say,Prefer not to say,Prefer not to say,2020-09-24T00:00:00.000Z,Rented (Social),0.9,DE,1.0,NO,,NO,,YES,opportunity to replace elec storage heaters,NO,,YES,lower bills from elec storage heaters,NO,,NO,,NO,,NO,,NO,,11/01/2021,E.ON,Flat,Flat,Suburban,1967 - 1975,,1.0,0.0,1.0,37.6,2.0,1.0,5.0,2.3,Solid_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,80,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.463,65.5,6056.0,1910.0,191.0,,,No,Yes,No,No,GSHP,,,None Required,,14707.5,351.09,14.3,,Yes,,,30/10/2021,Groundheat,GSHP,Shared_Groundloop,Vaillant,20260514,3.0,R410A,900.0,Water_new,100.0,,1.0,5.0,0.0,1.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,11605.06,1702.0,,2701.78,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
E.ON,EOH3143,NE31,56.0,Working Full time (>30hrs),Skilled Manual Worker,"30,001 - 40,000",2021-07-23T00:00:00.000Z,Owner-Occupied,8.0,C2,4.0,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,20/08/2021,Energist,House,Mid-Terrace,Urban,2012 onwards,B,2.0,0.0,2.0,96.0,6.0,3.0,12.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,0.0,No,No,,,3.62,44.1,7724.0,3146.0,0.0,45.0,3.77,Yes,No,Yes,Yes,ASHP,,,None Required,14347.62,,512.0,12.5,3.5,Yes,,,20/09/2021,Energist,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,,Water_new,200.0,,1.0,12.0,0.0,0.0,None,None,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,5623.74,1752.34,,3795.79,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
Warmworks,EOH0015,TD4,85.0,Retired,Pensioner,Prefer not to say,2020-07-22T00:00:00.000Z,Rented (Social),20.0,DE,1.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,Referred by Housing Association,28/08/2020,Warmworks,House,Semi-Detached,Suburban,1945-1964,F,1.0,0.0,2.0,69.3,3.0,2.0,3.0,2.3,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Direct,Electric - Direct,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,,,,,,,,Yes,No,Yes,No,ASHP,,,,,,,,,No,Practical_DisruptionWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0356,RH12,77.0,Retired,Pensioner,"25,001 - 30,000",2020-11-05T00:00:00.000Z,Owner-Occupied,2.0,DE,4.0,Yes,,Yes,Eventually we are all probably going to have to replace our gas boilers anyway to meet the governments zero emissions policy,Yes,I expect to save on my heating bills in the long term,No,,Yes,"I dont think I could afford it otherwise, government grants are insufficient",No,,Yes,If ways could be found to make heat pump installation cheaper or easier this would be good,No,"I have investigated but found it too expensive, see above",No,"Our boiler is fairly new and efficient but will have to be replaced eventually, see above",No,,09/11/2020,Retrofitworks,House,Detached,Urban,1991-2000,,2.0,0.0,2.0,92.0,5.0,3.0,8.0,,,,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,None,,0.0,1.0,0.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Participant_Suitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2482,TD6,64.0,Unemployed,Unemployed/Benefits,Prefer not to say,2020-07-22T00:00:00.000Z,Rented (Social),21.0,DE,2.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,Referred by housing association,13/08/2020,Warmworks,House,Semi-Detached,Suburban,1945-1964,F,2.0,0.0,2.0,81.8,4.0,2.0,4.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Direct,Fire - Coal,Water,Normal (90-130l),0.0,0.0,1.0,No,No,2900.0,,,,,,,,,Yes,No,Yes,Yes,HT_ASHP,,,,,,,,,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2409,EH46,57.0,Working Full time (>30hrs),Skilled Manual Worker,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),13.0,C2,1.0,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,13/07/2021,Warmworks,House,End-Terrace,Suburban,1991-2000,D,2.0,0.0,2.0,80.32,5.0,3.0,4.0,2.4,Cavity_Insulated,Solid,Pitched,Double,,Electricity,Electric - Storage,Electric - Direct,Water,Large (> 170l),0.0,0.0,0.0,No,No,12693.0,,5.0,60.0,7546.0,4075.0,0.0,50.0,3.41,Yes,No,Yes,Yes,ASHP,,,,,,712.0,14.0,,Yes,,,16/08/2021,TK Murray,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,0.0,Water_New,200.0,,1.0,,9.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,11215.17,3572.208,1610.23,2435.18,,,,,,,2.0,0.0,
OVO,EOH0352,ME12,71.0,Retired,Manager,Prefer not to say,2021-01-15T00:00:00.000Z,Owner-Occupied,,DE,3.0,Yes,,Yes,I need a system that will keep my husband and myself warm at a reasonable running cost. I want to look at all options but like the idea of a wet underfloor heating system.,No,We only have electric radiators...I donï¿½t know what options will be available or the cost.,Yes,See previous comments.  Before our building works commence we need to know what will be the most efficient and effective way of heating our retirement home.,Yes,We are pensioners. We need to watch our pennies hence the move to a retirement property. I am always reading magazines online to find out what new technology is available,Yes,We have to get this right. This will be our forever home. I am always reading up on new technology and looking at how we can be cost effective and carbon neutral - or as near as we can be.,Yes,You tell me more...,No,I donï¿½t know. You need to expand the choice of options here....We need to know what is out there.....if it is noisy then it wonï¿½t be suitable for us. If it blows air into the home it wonï¿½t be suitable either.,Yes,Old electric wall hung radiators with no central heating is likely to kill us off! We are used to a gas central heating system in our current home. We have to get this right...,No,Your form needs amending. We have no boiler but I had to enter incorrect information in order to proceed....,17/02/2021,Retrofitworks,House,Semi-Detached,Suburban,2001+,C,2.0,0.0,1.0,53.0,3.0,2.0,3.0,2.4,Cavity_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,None,,0.0,0.0,0.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH2674,EH10,69.0,Retired,Pensioner,"20,001 - 25,000",2021-05-13T00:00:00.000Z,Owner-Occupied,24.0,AB,3.0,Yes,,Yes,,No,,Yes,,No,,No,,No,,No,,No,,No,,22/06/2021,Warmworks,Maisonette,Mid-Terrace,Urban,Pre 1919,C,2.0,0.0,1.0,110.7,4.0,2.0,4.0,3.0,Cavity_No_insulation,Suspended,Another Dwelling Above,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,0.0,No,No,,,,,,,,,,Yes,No,Yes,Yes,ASHP,,,,,,,,,No,Practical_DisruptionTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH0230,TD1,74.0,Retired,Pensioner,Prefer not to say,2021-03-12T00:00:00.000Z,Rented (Social),44.0,C2,1.0,No,,No,,No,,Yes,social housing referral,No,,No,,No,,No,,No,,Yes,,26/03/2021,Warmworks,House,Mid-Terrace,Suburban,1945-1964,D,1.0,0.0,2.0,80.92,5.0,3.0,5.0,2.46,Cavity_Insulated,Suspended,Pitched,Double,No,,Electric - Storage,Electric - Direct,Water,Normal (90-130l),0.0,0.0,0.0,No,No,,,,,,,,,,Yes,No,Yes,No,ASHP,,,,,,,,,No,Practical_DisruptionWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH3036,EH46,67.0,Working Full time (>30hrs),Professional,Prefer not to say,2021-06-11T00:00:00.000Z,Rented (Social),14.0,C1,1.0,No,,No,,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,28/07/2021,Warmworks,House,Semi-Detached,Suburban,2001+,C,3.0,0.0,2.0,84.9,5.0,3.0,5.0,2.39,Cavity_Insulated,Suspended,Pitched,Double,,Electricity,Electric - Storage,Electric - Direct,Water,Large (> 170l),0.0,0.0,0.0,No,No,9300.0,,5.0,60.0,7546.0,4075.0,0.0,50.0,3.41,Yes,No,Yes,No,ASHP,,,,,,712.0,14.0,,Yes,,,28/09/2021,TK Murray,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,0.0,Water_New,200.0,,1.0,,9.0,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,,No,0.0,0.0,None,No,11215.17,3572.208,1610.23,2435.18,,,,,,,2.0,0.0,
E.ON,EOH1464,NE13,45.0,Working Full time (>30hrs),Manager,"40,001 - 50,000",2020-12-16T00:00:00.000Z,Owner-Occupied,1.0,AB,3.0,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,08/01/2021,Phoenix,House,Semi-Detached,Urban,1967 - 1975,,2.0,1.0,2.0,176.0,5.0,3.0,6.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,None,,0.0,1.0,0.0,No,No,,,5.17198,68.01,14490.4,4122.0,181.0,,,Yes,No,Yes,Yes,ASHP,,,None Required,12199.93,0.0,630.0,14.3,3.8,No,Practical_DisruptionWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH1318,NE6,36.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-10T00:00:00.000Z,Owner-Occupied,4.0,AB,2.0,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,28/07/2020,E.ON,House,End-Terrace,Suburban,1996 - 2002,C,3.0,0.0,2.0,106.0,5.0,5.0,9.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,None,Water,153,0.0,0.0,1.0,No,No,,,6.181,64.52,12223.0,3734.0,551.0,45.0,3.57,Yes,No,No,Yes,ASHP,,,,11319.16,,444.0,14.37,3.8,Yes,,,02/09/2020,Aaron Services,ASHP,,Daikin,EDLQ07CAV3,7.0,R410A,,Water_new,180.0,,1.0,11.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,5648.01,1752.34,,1961.96,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,
E.ON,EOH3082,NE12,58.0,Working Full time (>30hrs),Clerical,"40,001 - 50,000",2021-03-04T00:00:00.000Z,Owner-Occupied,15.0,C1,1.0,NO,,NO,,YES,,NO,,YES,potential for bill savings & gov grant,NO,,NO,,NO,,NO,,NO,,09/03/2021,Phoenix,House,Detached,Urban,2003 - 2006,C,3.0,0.0,2.0,131.0,7.0,4.0,12.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Fire - Electric,Water,150,0.0,0.0,1.0,No,No,,,7.311,55.8,14652.4,4994.0,181.0,60.0,3.22,Yes with additional measures,No,Yes,No,HT_ASHP,,,None Required,18391.83,,905.0,14.3,3.8,Yes,,,23/07/2021,Phoenix,HT_ASHP,,Daikin,EPRA16DAV3,16.0,R32,,PCM_New,,9.0,1.0,13.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,9688.0,3500.65,,3425.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
Warmworks,EOH2609,EH41,50.0,Working Full time (>30hrs),Semi and unskilled manual worker,"40,001 - 50,000",2020-09-05T00:00:00.000Z,Owner-Occupied,19.0,C2,4.0,Yes,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,06/10/2020,Warmworks,House,Detached,Suburban,1965-1980,C,2.0,2.0,2.0,179.49,9.0,4.0,9.0,,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,1.0,Yes - Borehole,Yes,2800.0,,12.8,73.7,33463.0,5394.0,156.0,55.0,3.26,Yes,Yes,Yes,Yes,GSHP,,,,,,2221.0,16.36,4.17,Yes,,,07/06/2021,mcinnesplumbing,ASHP,,Mitsubishi,PUZ-HWM140VHA-BS,14.0,R32,0.0,Water_New,200.0,,1.0,14.0,,0.0,None,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,None,No,8575.73,3572.208,1610.23,3788.06,,,,,,,2.0,0.0,
OVO,EOH1517,SO16,39.0,Working Full time (>30hrs),Professional,Prefer not to say,2020-07-16T00:00:00.000Z,Owner-Occupied,2.0,C1,4.0,Yes,looking to get solar system as well so makes sence with heat pump,Yes,looking to disconnect mains gas completely and move everything to solar and electric with house battery and heat pump and heat battery,Yes,"we have already removed all traditional rads and installed underfloor heating systems and 100mm insulation, heat pump, 8-10kw solar system and heat battery are next steps",Yes,"2 extensions on property are planned in future, one in front , one in back and both will also have underfloor heating pipes installed and all be insulated",Yes,"yes and no, will just make it a bit quicker and have been planning this since we purchased property 2 years ago",Yes,"ashp are the way to go in the UK as winters dont go below 0 degrees  tbh, also thought and researched gshp but cost is much higher and would been a bore hole too, but with solar system air source heat pump is great",Yes,"yes of course, very keep to help",Yes,like I said before this opportunity will help speed things up and get everything running,No,not really but want to get carbon neutral and disconnect mains gas,No,,11/02/2021,Retrofitworks,House,Detached,Suburban,1945-1964,,2.0,0.0,1.0,70.0,4.0,2.0,4.0,2.5,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,None,,0.0,0.0,0.0,No,No,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH1594,NE5,,Unemployed,Unemployed/Benefits,Prefer not to say,2020-10-28T00:00:00.000Z,Rented (Private),0.9,DE,1.0,NO,,NO,,YES,Chance to upgrade from electric only heating,NO,,YES,Potential for bill savings,NO,,NO,,NO,,NO,,NO,,05/11/2020,Phoenix,House,Mid-Terrace,Urban,1930 - 1949,E,1.0,1.0,2.0,86.0,5.0,3.0,4.0,2.3,Cavity_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,120,0.0,0.0,0.0,No,No,,,,,,,,,,No,No,No,No,None - Installation not recommended,Practical_Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0451,NE3,,Prefer not to say,Prefer not to say,Prefer not to say,2020-09-24T00:00:00.000Z,Rented (Social),,DE,1.0,NO,,NO,,YES,opportunity to replace elec storage heaters,NO,,YES,lower bills from elec storage heaters,NO,,NO,,NO,,NO,,NO,,11/01/2021,E.ON,Flat,Flat,Suburban,1967 - 1975,,1.0,0.0,1.0,37.6,2.0,1.0,5.0,2.3,Solid_Insulated,Solid,Pitched,Double,No,Electricity,Electric - Storage,None,Water,80,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.463,65.5,6056.0,1910.0,191.0,,,No,Yes,No,No,GSHP,,,None Required,,14707.5,351.09,14.3,,Yes,,,26/11/2021,Groundheat,GSHP,Shared_Groundloop,Vaillant,20260514,3.0,R410A,900.0,Water_new,100.0,,1.0,5.0,0.0,1.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,None,no,11605.06,1702.0,,2701.78,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
Warmworks,EOH1722,EH16,44.0,Working Full time (>30hrs),Professional,Prefer not to say,2020-08-31T00:00:00.000Z,Owner-Occupied,5.0,AB,2.0,Yes,,Yes,,No,,No,,No,,No,,Yes,,No,,No,,No,,02/12/2020,Warmworks,House,Detached,Suburban,2001+,C,4.0,1.0,2.0,113.37,6.0,,6.0,2.29,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,None,None,,0.0,0.0,1.0,No,No,6076.0,8627.0,,,,,,,,Yes,No,Yes,Yes,ASHP,,,,,,,,,No,Social_Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
